Phase Identity,Integer identifying grain,Number of measurement points in the grain,Area of grain in square microns,Diameter of grain in microns,ASTM grain size
2,29457,2,0.00624,0.09,24.3
2,29462,2,0.00624,0.09,24.3
2,29466,2,0.00624,0.09,24.3
2,29480,2,0.00624,0.09,24.3
2,29482,4,0.0125,0.13,23.3
2,29484,15,0.0468,0.24,21.4
2,29492,2,0.00624,0.09,24.3
2,29539,2,0.00624,0.09,24.3
2,29607,2,0.00624,0.09,24.3
2,29614,2,0.00624,0.09,24.3
2,29660,875,2.73E+//0-,1.86,15.5
2,29671,2,0.00624,0.09,24.3
2,29688,32,0.0998,0.36,20.3
2,29716,2,0.00624,0.09,24.3
2,29750,2,0.00624,0.09,24.3
2,29755,3,0.00935,0.11,23.7
2,29765,2,0.00624,0.09,24.3
2,29800,2,0.00624,0.09,24.3
2,29801,2,0.00624,0.09,24.3
2,29802,2,0.00624,0.09,24.3
2,29803,7,0.0218,0.17,22.5
2,29850,2,0.00624,0.09,24.3
2,29880,2,0.00624,0.09,24.3
2,29898,2,0.00624,0.09,24.3
2,29903,2,0.00624,0.09,24.3
2,29934,2,0.00624,0.09,24.3
2,29966,2,0.00624,0.09,24.3
2,29969,2,0.00624,0.09,24.3
2,29972,159,0.496,0.79,18
2,29993,6,0.0187,0.15,22.7
2,29998,2,0.00624,0.09,24.3
2,30039,151,0.471,0.77,18.1
2,30042,2,0.00624,0.09,24.3
2,30052,255,0.795,1.01,17.3
2,30085,4261,1.33E+//0-,4.11,13.2
2,30098,2,0.00624,0.09,24.3
2,30116,2,0.00624,0.09,24.3
2,30124,2,0.00624,0.09,24.3
2,30136,2,0.00624,0.09,24.3
2,30140,2,0.00624,0.09,24.3
2,30152,3,0.00935,0.11,23.7
2,30185,2,0.00624,0.09,24.3
2,30209,2,0.00624,0.09,24.3
2,30223,2,0.00624,0.09,24.3
2,30230,3,0.00935,0.11,23.7
2,30231,2,0.00624,0.09,24.3
2,30247,2,0.00624,0.09,24.3
2,30252,3,0.00935,0.11,23.7
2,30267,3,0.00935,0.11,23.7
2,30268,2,0.00624,0.09,24.3
2,30299,2,0.00624,0.09,24.3
2,30319,2,0.00624,0.09,24.3
2,30356,1471,4.59E+//0-,2.42,14.8
2,30369,2,0.00624,0.09,24.3
2,30379,5,0.0156,0.14,23
2,30382,3,0.00935,0.11,23.7
2,30418,2,0.00624,0.09,24.3
2,30420,5,0.0156,0.14,23
2,30436,2,0.00624,0.09,24.3
2,30439,2,0.00624,0.09,24.3
2,30478,2,0.00624,0.09,24.3
2,30489,3,0.00935,0.11,23.7
2,30504,2,0.00624,0.09,24.3
2,30512,2,0.00624,0.09,24.3
2,30516,2,0.00624,0.09,24.3
2,30534,2,0.00624,0.09,24.3
2,30571,2,0.00624,0.09,24.3
2,30608,2,0.00624,0.09,24.3
2,30644,2,0.00624,0.09,24.3
2,30664,4,0.0125,0.13,23.3
2,30675,2,0.00624,0.09,24.3
2,30684,411,1.28E+//0-,1.28,16.6
2,30692,58,0.181,0.48,19.4
2,30701,2,0.00624,0.09,24.3
2,30819,2,0.00624,0.09,24.3
2,30833,2,0.00624,0.09,24.3
2,30848,2,0.00624,0.09,24.3
2,30851,3,0.00935,0.11,23.7
2,30885,2,0.00624,0.09,24.3
2,30926,2,0.00624,0.09,24.3
2,30963,2,0.00624,0.09,24.3
2,30971,2,0.00624,0.09,24.3
2,31010,2,0.00624,0.09,24.3
2,31018,2,0.00624,0.09,24.3
2,31019,2,0.00624,0.09,24.3
2,31074,2,0.00624,0.09,24.3
2,31075,2,0.00624,0.09,24.3
2,31076,3,0.00935,0.11,23.7
2,31082,2,0.00624,0.09,24.3
2,31095,2,0.00624,0.09,24.3
2,31105,19,0.0592,0.27,21.1
2,31122,3,0.00935,0.11,23.7
2,31126,2,0.00624,0.09,24.3
2,31161,32,0.0998,0.36,20.3
